query,source
"The laptop I would want as a replacement is one that doesn't just do basic tasks, but is also suitable for artistic tasks like photo editing and video editing. These are two of my hobbies and a basic laptop won't do. I think that would require at least a 4 core processor. I also want one that is light and portable because i like to travel and I like a computer that has a nice aesthetic appearance because I like to think of my laptop as an accessory, but a useful one. Please provide some product recommendations for me","VACOS"
"I lost my denim jacket and would need to replace it with one of a very similar type. Short with collar and pockets Please provide some product recommendations for me","VACOS"
"I need to buy a new jacket. I'll probably get a black one with loads of pockets. Something really thick so I don't get cold. Please provide some product recommendations for me","VACOS"
"I want a laptop with a good memory and processing speed. One that is easy to use abs looks good also. And not too expensive. Please provide some product recommendations for me","VACOS"
"The jacket is really warm and has lots of padding to keep me cosy. It had a large hood with a fur trim. It is waterproof. It very long to keep my body warm. Please provide some product recommendations for me","VACOS"
"I would like one that is lightweight, has a really good battery life and a clear screen. Please provide some product recommendations for me","VACOS"
"I would get something that works for both spring and fall. Maybe with a zip out liner. It would need to be waterproof. Please provide some product recommendations for me","VACOS"
"A second-hand or vintage mid-weight jacket, or one from a sustainable brand. Please provide some product recommendations for me","VACOS"
"a small tablet like computer with surface pen . Now I will be able to use the tools by touch screen or a pen. there is a lot more memory and a the ability to link to my phone and tv. its runs faster and has built in protection and word package free. Please provide some product recommendations for me","VACOS"
"I want a jacket that has a zipper for easy access to take on and off. I want the jacket to be blue, gray, or black, as those colors are easy to match and are a staple in my wardrobe. I want the jacket to be soft and comfortable and cozy. I want the jacket to also have a hood that I can wear on my head in case I get too cold, or I can put it down in case I get too warm. Please provide some product recommendations for me","VACOS"
"I would like the new Jacket to be water proof, full lengh with a hood. The colour would have to be dark such as black or brown. Must have buttons maybe double breasted, No zip.. V neck also in the design.. It would also have to have pockets and a side pocket to store my phone  Fully lined with a warm fleece. Please provide some product recommendations for me","VACOS"
"I'm buying a new Macbook Air with an extended warranty and an extra plug. Please provide some product recommendations for me","VACOS"
"I'm looking at new laptops that are made by brands with a good reputation. What's really important is that they have a large hard drive and SSD because I store a lot of photos and SSD is more stable. It would need a good amount of RAM and processing power to ensure that laptop can run smoothly using some intense programs such as Lightroom and can easily cope with a lot of browser tabs open at the same time without sounding like a plane getting ready to take off. Something in a cool colour would be a bonus, but I don't have to have that if the laptop has all the other more important features I want. I'd prefer something that isn't loaded with a lot of pre installed junk that is never really used and often just causes the laptop to slow down. It would need to have a WiFi card and I'd want to get Microsoft Office for it. Please provide some product recommendations for me","VACOS"
"Apple laptop because I believe them to be the most secure. Also I think they are the most reliable laptop to own and the easiest to use. They also have dedicated shops with one to one help in store if you have any questions on how to use them. Please provide some product recommendations for me","VACOS"
"I’m going to buy a laptop for admin and using the internet at home Please provide some product recommendations for me","VACOS"
"A hooded jacket in a very soft and light material. It has very fine multicoloured stripes, big pockets and a tie belt. Please provide some product recommendations for me","VACOS"
"The laptop should at least run Windows 10 properly without errors, it should be a well recognized brand but not too expensive, large RAM and a quick processor and ans easy to use interface and keyboard. Please provide some product recommendations for me","VACOS"
"My old laptop actually did breaks down recently and I’d love to replace it with a MacBook Pro. I really love and appreciate the simplicity of Apple products. They’re both simple and sleek in design, and very easy to use and figure out. My old MacBook was super user-friendly and lasted over 10 years so I’d feel confident making an investment in an upgraded MacBook. Please provide some product recommendations for me","VACOS"
"I would like a touchscreen laptop that is going to be fast enough for all of my routine work tasks and remoting in. I don’t need something capable of playing massive video games, but would like good video capabilities. Please provide some product recommendations for me","VACOS"
"I would choose the laptop based upon the ratio of specifications to price. I would want an SSD of at least 500 GB. I would want a high quality processor but i wouldn't care for a high quality graphics card as i would not intend to game on it. Please provide some product recommendations for me","VACOS"
"A SAMSUNG LAPTOP THAT I HAVE AN I6 PROCESSOR WITH RAM MEMORY OF 8 AND THAT HAS A GOOD GRAPHIC CARD TO BE ABLE TO PERFORM ANY KIND OF WORK AND THAT IS COMFORTABLE AND RESISTANT Please provide some product recommendations for me","VACOS"
"I would want something that offers the best quality and the most affordable price. I want something that can run fast and if possible run games on it.  It needs to have a lot of good reviews too. Please provide some product recommendations for me","VACOS"
"I plan to buy a jacket that's thermal heat reflective, black, water resistant, and is about knee length. It would have a removable hood and be lightweight, but warm. Please provide some product recommendations for me","VACOS"
"Light weight and easy to transport ideally an Apple Mac although I know they are pricey and would need to consider this. High spec so that it runs with speed and ease. Please provide some product recommendations for me","VACOS"
"I would shop around to find a replacement that is comfortable, long in length and a reasonable price. Please provide some product recommendations for me","VACOS"
"Light and quite small though with a good quality screen.  Light keys, very responsive.  Ideally with a case or cover. Please provide some product recommendations for me","VACOS"
"A black jacket. Very practical must be waterproof and windproof. Must come with a hood and have pockets. Please provide some product recommendations for me","VACOS"
"I would like to buy a laptop with 17 inch screen maybe a touch screen, I want a Microsoft laptop to run windows. I’d like a silvery girly pink cover to it Please provide some product recommendations for me","VACOS"
"I want a waterproof jacket that is long to keep my whole body warm, it must have a hood. Please provide some product recommendations for me","VACOS"
"I really want a warmer jacket than the one I've just lost, maybe some sort of fleece, but I don't know yet. 
I like lighter colours so I'll probably get a fawn or cream one again. The important thing is obviously price though. I might try and get something secondhand. Please provide some product recommendations for me","VACOS"
"A black denim jacket with that was trendy and had good pockets. Please provide some product recommendations for me","VACOS"
"I would like to replace the laptop with an updated version of an Apple laptop, as this will have all the latest technology and hopefully would last for many years. Please provide some product recommendations for me","VACOS"
"a modern up to date laptop with camera and sound maybe apple mac Please provide some product recommendations for me","VACOS"
"I want a replacement that is light-weight, simple to use without extra unnecessary features, and maybe one that can be converted into a tablet with a touch screen. I would want something that looks newer and has a big mouse trackpad, as that is easier to use. I probably would not want a computer older than one from 2015. Please provide some product recommendations for me","VACOS"
"Black donkey-jacket style overcoat, warm enough for winter but also cool enough for an average day. Please provide some product recommendations for me","VACOS"
"I would get one priced around £400 with a good memory and speed of use. I don't care who makes it but one that has a good screen which is detachable. Please provide some product recommendations for me","VACOS"
"i would like a warm cosy jacket that keeps me warm, whilst it still looks fashionable Please provide some product recommendations for me","VACOS"
"Looking for a waterproof jacket with 3 pockets, breathable and light enough to wear on cooler warm days but also warm enough for our mild winters. I prefer dark colours but not black so more likely dark navy or grey. Please provide some product recommendations for me","VACOS"
"I would choose a jacket that is warm and water proof for when the weather is bad. Please provide some product recommendations for me","VACOS"
"I would get a new gaming laptop as a replacement which would allow me to be able to play newer games Please provide some product recommendations for me","VACOS"
"I would buy a black quilted jacket. I want to spend up to £100 and I’ll probably buy it from Zara because that’s my favourite shop. Please provide some product recommendations for me","VACOS"
"I'd choose a lightweight laptop. It doesn't need to be really expensive as I just need it for browsing and documents, not for gaming. I'd like the screen to have a good resolution for editing images though. Please provide some product recommendations for me","VACOS"
"Knee length, wool coat. Nude in colours, button fronted with tailoring. The coat i would like is slightly oversized and also has a collar. Please provide some product recommendations for me","VACOS"
"My laptop would need to be at least 15 inch and slimline. I like to have a touch screen tool bar at the top of my keyboard. I would always go for an Apple mac Please provide some product recommendations for me","VACOS"
"a windows 10 hp laptop would be my choice because they a good mid range make Please provide some product recommendations for me","VACOS"
"It would be a light coloured jacket, ideal for cooler days but something I could wear if it was a bit warmer too.  I don't mind buttons or zips although it must have pockets. Please provide some product recommendations for me","VACOS"
"I'd pick a lightweight laptop high speed high memory so it isn't to slow and annoys me to death has to be fast going Please provide some product recommendations for me","VACOS"
"I'm planning on buying a new jacket, a blue one if it's in stock. Please provide some product recommendations for me","VACOS"
"I am planning to buy the most powerful laptop in the world. It will have i9 central processor unit ( CPU )
and two graphics cards. it will be state of the art so it will come straight from DELL because i trust them the most. My Ram would be 16gb which is very fast. Please provide some product recommendations for me","VACOS"
"Macbook Pro, 64GB DDR Ram, Solid State Drive, large memory Please provide some product recommendations for me","VACOS"
"A longer length smart jacket. It's made of heavy wool mix, black in colour, with a large Mongolian wool collar. Details include pockets and buttons which are both functional and decorative. Please provide some product recommendations for me","VACOS"
"I would pick a laptop that is 13 inches because it easiest to travel with and carry around in my bag for my university. It would need to be able to run 3D design software like SOLIDWORKS and Cad without any hiccups, and a battery that lasts all day long. Please provide some product recommendations for me","VACOS"
"My ideal laptop replacement would be one that is good for gaming. Please provide some product recommendations for me","VACOS"
"So I lost my jacket and I'm looking for a black hooded jacket that zip ups. It has the big harley Quinn on the back. Please provide some product recommendations for me","VACOS"
"I don't generally  wear jackets on a daily basis, but some sort of functional shower-proof item with as many pockets as possible would fit the bill nicely. Please provide some product recommendations for me","VACOS"
"I want a black soft leather jacket which reaches just a couple of inches below my waist so that it covers the belt of my trousers. It needs to have an inside breast pocket and two hip pockets. It should fasten either with a zip or press studs. Please provide some product recommendations for me","VACOS"
"I want it to atleast have a fast processor, around I5 and 8gb of ram atleast, to process it for everything I do and need to on a daily bases, have either windows 8 or windows 10 on it, Ive never owned a laptop, only pc so for a laptop i would try an i3 first, but with the corona its not like I can test any out at the minute. Please provide some product recommendations for me","VACOS"
"I would like a compact laptop which isn't too heavy to carry around. I like Dell laptops and I would like a nice bright colour like pink or purple. Please provide some product recommendations for me","VACOS"
"The replacement laptop would need to be able to fulfil simple tasks like accessing the internet to allow me to surf the web, check my emails and access my social media. It would also need to be able to handle more complex tasks such as running Adobe Photoshop and Illustrator, programs which I require for my work. So a laptop with a large amount of running speed/memory would be required. It would also need to be able to function alongside my phone and ipad, both of which are Apple products. Please provide some product recommendations for me","VACOS"
"I'd like a laptop that's reliable, hard-wearing and good value for money. I'd ideally like it to have a DVD drive and run Mac OS. I'd like it to have  decent sized screen for watching films and Netflix on. Please provide some product recommendations for me","VACOS"
"I want a very light slim laptop that is very high tec. i would like that i could speak to it and it would do what i asked such as type a story that i dictate or make directional moves according to my movements without me having to touch anything Please provide some product recommendations for me","VACOS"
"it would be a branded jacket, that would be warm as well as comfortable Please provide some product recommendations for me","VACOS"
"I would probably buy some kind of PC because I find them to be more cost effective than a mac. I want something with decent storage space and processing power but not an excessive amount as I don't do gaming or other things that demand a lot of processing power. Please provide some product recommendations for me","VACOS"
"It needs to have a zipper and pockets. The material can be anything as long as it is comfortable and keeps me warm. I would prefer it to be slightly loose as well. Please provide some product recommendations for me","VACOS"
"I want something very comfortable. But it needs to be one that isn't for one season more than the other, I can use it is sprig and fall and would sill be reasonably comfortable and not too hot or cold. Please provide some product recommendations for me","VACOS"
"I want a black denim jacket. I want it to be true to size and not too oversized or tight. I want it to be slightly cropped and hit around the waist. Please provide some product recommendations for me","VACOS"
"I would want to get an Apple Mac book pro laptop as everything I have is from Apple I would want them to be able to al sync together Please provide some product recommendations for me","VACOS"
"It looks like the coat that the character April Ludgate from Parks and Rec wears in the intro. It is grey button down and there are splash of color all around it. It's one of those coats you have to dry clean. It looks fancy and European. 

To be realistic I would have linked a photo to my friend. And then I would send a meme of April Ludgate. Please provide some product recommendations for me","VACOS"
"The jacket I would liked replaced is a dark navy blue jacket which is water proof and also thick enough for winter. It has two deep pockets on the front with one pocket in the inside. The jacket is a zipped jacket and it is a large. Please provide some product recommendations for me","VACOS"
"Probably an MSI laptop with a lot of storage, good graphics card, processor and an SSD. MSI is my first choice, but i would be open to other options. Please provide some product recommendations for me","VACOS"
"A black lightweight jacket with a cinched in waist Please provide some product recommendations for me","VACOS"
"I'm thinking of getting a waterproof jacket, maybe the colour purple but I don't want one from North face. Also, I'll probably get one with deep pockets as well. Please provide some product recommendations for me","VACOS"
"I would choose a laptop that has at least a 15inch screen and has a good battery life with good amount of storage. Probably a HP or a Dell Please provide some product recommendations for me","VACOS"
"I would get a 4k laptop with touchscreen and really good speakers. Please provide some product recommendations for me","VACOS"
"I want one which is long enough to cover my bum, not too heavy, actually keeps the rain off you. I'll probably get a navy or black one again, other colours show the dirt too quickly. Please provide some product recommendations for me","VACOS"
"I would buy an Apple macbook pro. It is a laptop that opens up your tabs as soon as you open the screen. It is easy to use once you get used to it. Please provide some product recommendations for me","VACOS"
"I need to get one that runs well. It needs to be from a top-tier company, as it's something I'll plan to have for quite some time. Please provide some product recommendations for me","VACOS"
"A knee length duster jacket, preferably black or very dark blue Please provide some product recommendations for me","VACOS"
"For my new jacket, I would purchase a military-style jacket either blue or black in colour. It would be medium-length, extending to approximately mid-thigh, with a zipper but also buttons to close it. It would include a hood with drawstrings and be made from a khaki-type material. Please provide some product recommendations for me","VACOS"
"Lightweight jacket with hood and pockets     Preferably shower proof Please provide some product recommendations for me","VACOS"
"I want to get a new google chromebook. I want it to be a neutral color. I want it to be lightweight and easy to transport and carry around. I also want it to have a long battery life. Please provide some product recommendations for me","VACOS"
"I have chosen a denim jacket with metal buttons. It has fleece lining and will keep me warm in winter Please provide some product recommendations for me","VACOS"
"A light laptop that boot up quickly. It's sturdy and have a good OS. Please provide some product recommendations for me","VACOS"
"Something warm, preferably with two layers. Gray, black, or dark blue color. Hood, and a zipper front. Please provide some product recommendations for me","VACOS"
"I would choose a black jacket that was waterproof but also has a hood. Please provide some product recommendations for me","VACOS"
"I would like to purchase a jacket that is both wind resistant and rain repellant.  I want it to cover my butt and have some warmth to it.  I would like a dark color like navy or grey so that it doesn't show dirt. Please provide some product recommendations for me","VACOS"
"It would be a faster version with more memory and light weight. Please provide some product recommendations for me","VACOS"
"I would choose a Chinese cheap one I think maybe Huawei or Chuwi this would require some research. It would have a metal unibody and 5ghz wifi. Q Please provide some product recommendations for me","VACOS"
"I need a leather jacket with zips, biker style, it needs to have good lapels for my badges, and silver hardware. it needs to have zips on the arms and a plan back and nipped waist Please provide some product recommendations for me","VACOS"
"A laptop with a cd drive and at least 500gb of storage Please provide some product recommendations for me","VACOS"
"It was a blue jacket. I want to buy the same colour and casual style with zipper. The jacket was short and from Calvin Klein store. Please provide some product recommendations for me","VACOS"
"A reliable laptop that could last a long time and not become obsolete quickly. I dislike upgrading and buying new things, so I would want it to last a while. Please provide some product recommendations for me","VACOS"
"I am planning to buy a brand new Macbook, the thinnest and lightest one there is. I want it to be gold. I plan to get the most high-performance one I can. Please provide some product recommendations for me","VACOS"
"I'd want one that had a bright clear screen. I'd want one that was quite rugged so I could carry it about without it breaking. I'd want one with an easy to clean keyboard. I'd want one with a separate number pad on the keyboard. I'd want one that had a reasonably large screen but not too large (or it would make it difficult to carry). Please provide some product recommendations for me","VACOS"
"i would want a good quality laptop that would suit my needds, if would need a nice keyboard and screen as a minimum Please provide some product recommendations for me","VACOS"
"I would choose a HP x360 Pavillion laptop, as I've had my eye on it for years. It is a touch screen, and can rotate 360 degrees to form a sort of tablet structure. Please provide some product recommendations for me","VACOS"
"Black leather jacket in a size 8 with gold detailing Please provide some product recommendations for me","VACOS"
"I would buy a high quality closet staple jacket, like a white or black jacket. Maybe a zipper hoodie from Nike or some other place. Please provide some product recommendations for me","VACOS"
"The latest apple mac book / laptop in rose gold or silver, no larger than 15 screen size Please provide some product recommendations for me","VACOS"
"I would choose one that had a lot of memory and was fast Please provide some product recommendations for me","VACOS"
"I would want a puffy black jacket with a hood. I would want it to be well insulated and have large pockets in the front. Please provide some product recommendations for me","VACOS"
"I would like a jacket that would be comfortable for wearing in moderately cooler weather, around the fifty degree (F) mark. Anything more than that would be too hot to wear on a daily basis. If it had a hood that would preferred, as would pockets on the front to put your hands into. Color is not as important, but I would prefer a darker color like navy blue or grey. Please provide some product recommendations for me","VACOS"
"I would want a Mac laptop that is silver and has a lot of storage space. I would want a laptop that was fast and had a fairly big screen. One that is fairly lightweight but also solid so it wouldn't break easily. I'd also like it do have a light up keyboard. Please provide some product recommendations for me","VACOS"
"I would choose a purple-colored jacket that is made out of nylon. That way maybe it would repel the rain. Please provide some product recommendations for me","VACOS"
"I will look for a jacket that is as warm and as light as possible and hopefully one that will last a long time, for an everyday jacket function is more important that style. Please provide some product recommendations for me","VACOS"
"The laptop should be fast enough to run all main programmes, portable and have a decent screen size. It would be upgradable and have a number of USB ports. Please provide some product recommendations for me","VACOS"
"I would want a 15+ TFT screen, i7 processor, at least 16GB RAM, at least 1Tb SSD.
Bluetooth, 4 USB connectors, USB-C connector, VGA and HDMI plus a SSD reader and a SIM card slot Please provide some product recommendations for me","VACOS"
"One that is black, lightweight and reliable. It doesn't need a massively high spec but plenty of storage space for pictures and videos and a decent enough webcam for video calling. Please provide some product recommendations for me","VACOS"
"I would choose a Columbia coat as they are great!  They function well and are cost effective. Please provide some product recommendations for me","VACOS"
"An oversized black aviator jacket, probably size 8 depending on the fit of the jacket. Please provide some product recommendations for me","VACOS"
"I would choose a light jacket as the weather now is getting warmer but it is still a bit cold. Please provide some product recommendations for me","VACOS"
"I would choose a newer model of work laptops or a gaming laptop such as alienware. I want one that works for gaming and work activities. loads fast and charges longer. Please provide some product recommendations for me","VACOS"
"A dark-coloured, fairly smart jacket. It must be of good quality and fit me well. Please provide some product recommendations for me","VACOS"
"I would choose a jacket that was both fashionable and practical. Something lightweight but also shower-proof/warm. I would buy a jacket that is reasonably priced, potentially at the higher end of the market so that it's a durable item of clothing. Please provide some product recommendations for me","VACOS"
"A jacket that is warm and comfortable. It wouldn't be too long and would match with many styles of clothing Please provide some product recommendations for me","VACOS"
"I would choose a jacket that is the most cost effective jacket and closest to the jacket that I had lost. I would tell my friend all the places that I have looked for a replacement and which store I am planning to buy from. Please provide some product recommendations for me","VACOS"
"The replacement laptop would be not too expensive and sufficient for my needs, in that it has plenty of  storage, webcam, ear buds and is compatible to my mobile phone.  I would purchase it ideally from somewhere local with a good warranty and preferably not in a boring colour, something jazzy like glitter or leopardskin pattern. Please provide some product recommendations for me","VACOS"
"I would want something that is not too expensive, around 400 dollars. It has to have a good battery life and preferably a 17 inch screen, i do not care much about how fast it is since i do not use my laptop to play games or things like that. Please provide some product recommendations for me","VACOS"
"I would want an apple laptop because they are the most reliable in my opinion Please provide some product recommendations for me","VACOS"
"I need a laptop that is pretty fast and has a lot of hard drive space.  I have to download large video files for my work so I need something that has at least a few hundred gigabytes.  I also need to be able to watch livestreams for my work, so it has to run pretty fast and smoothly.  Hopefully I can find something for not too expensive, maybe something like $500. Please provide some product recommendations for me","VACOS"
"I would buy a blue jacket with at least two zippered pockets and perhaps a couple on the inside. Please provide some product recommendations for me","VACOS"
"Warm, comfortable and well fitted.  Hard wearing as I like my clothes to last and wear well.  A useful warm colour as I have a small child so no pale beige/cream. I don't care about the brand, the coat itself is the most important.  It must have pockets that you can actually put things into without totally ruining the line. Please provide some product recommendations for me","VACOS"
"I would want one that is relatively light, and my priority in its specs would be a decent processing speed. I do not require high quality graphics, but would like to be able to run basic games on it. Cost would be a significant factor in my decision, as I typically only use a laptop for browsing so just want something reliable, cost effective, and fast. Please provide some product recommendations for me","VACOS"
"A navy blue raincoat that falls mid-thigh.  It should be understated yet elegant with a simple collar and plain buttons.  A slight herringbone pattern on the material is permissible so long as it does not detract from the overall piece.  Ample pockets are desired, with at least one inside pocket. Please provide some product recommendations for me","VACOS"
"Was thinking of large wide screen but not to heavy, loads of memory and a fast processor, maybe the latest I7 from Intel. Please provide some product recommendations for me","VACOS"
"I would choose an inexpensive laptop that allows me to perform basic tasks like accessing the internet and email. Please provide some product recommendations for me","VACOS"
"I would want to buy a laptop that is not too big, but appropriate enough to be able to work on without straining my eyesight. I 'm also planning to get a laptop with a well functioning track-pad since I don't use a mouse. I also want the interface to be user-friendly. Please provide some product recommendations for me","VACOS"
"I want something that will keep me warm but also looks good. A jacket with down insulation would be ideal. Id like it to be fitted and probably a decent brand. I wouldnt mind if it was quite brightly coloured. Please provide some product recommendations for me","VACOS"
"The ideal replacement would be lightweight and slim with a high quality internal processor and sound system. It would also be reasonably priced and chrome in colour. Please provide some product recommendations for me","VACOS"
"It is a navy blue twill fabric and is a typical single breasted blazer style with three buttons and lapels in a deeper blue twill fabric. Please provide some product recommendations for me","VACOS"
"I would most likely search the thrift stores until I found a cool and slightly vintage jacket, as long as it was in good condition. Please provide some product recommendations for me","VACOS"
"I want a jacket similar to the one I lost with these features: lots of pockets, a hood, waterproof and long enough to cover my butt. This time though, I would choose a more colourful one, rather than just plain blue. Maybe yellow. Please provide some product recommendations for me","VACOS"
"I'd like one of those padded short jackets that are quilted. It would be like wearing a duvet and be nice and snuggly in cold weather. Please provide some product recommendations for me","VACOS"
"If it's new, I'd want a solid state drive, a quality processor and plenty of RAM to optimize speed. I'd look around for anything I might want to run on it and make sure it's capable of it. Please provide some product recommendations for me","VACOS"
"I usually get piece of crap Dell laptops so maybe I'd splurge and get an Apple. Please provide some product recommendations for me","VACOS"
"I would choose something with better specifications than what I previously had. I.e. better graphics, memory, speed and size. Please provide some product recommendations for me","VACOS"
"I would end up getting a jacket type hoodie, with a zipper, not too thick but also not too thin. Nicely coloured maybe a black, white or a lilac type colour as it would go with most things. Something that I could wear through summer and also winter too. Please provide some product recommendations for me","VACOS"
"Todays job mate is to go and buy a new jacket, ive lost my normal one somewhere. this time im going for  a leather jacket, zip and buttons at the front, that just keep the wind out. no particular brand, just something from next in the high street. Please provide some product recommendations for me","VACOS"
"It would be a navy blue colour and it would be lightweight. It would have a hoodie and plenty of pocket space, and it would have a zip. Please provide some product recommendations for me","VACOS"
"I would want to purchase a Mac book from Apple. It would have all of the design programs I needed. Please provide some product recommendations for me","VACOS"
"I would need a jacket that was light but warm.  Probably with down filling. Please provide some product recommendations for me","VACOS"
"I'd want a laptop that isn't too expensive but still high quality. It would need to be a touch screen laptop that folds in half to make it a tablet, too. The brand really isn't important to me as long as it runs well and I buy it from a trustworthy source. Please provide some product recommendations for me","VACOS"
"A jacket is for warmth, and so it makes sense to have a black jacket that attracts and retains heat. It should focus on warmth over anything else. Please provide some product recommendations for me","VACOS"
"I want a functional jacket that is padded to keep me warm in winter and black in colour so that it goes with most of my wardrobe. Please provide some product recommendations for me","VACOS"
"I would choose a laptop that is capable of viewing videos in high quality as well as with a decent amount of RAM for multi tasking. As it's a laptop I wouldn't be looking for the best quality considering I use a desktop instead and so I would only want something that meets the minimum requirements for the cheapest price. Please provide some product recommendations for me","VACOS"
"I need the softest material possible.  It must have the perfect fit,  It can not be too tight & has to earth tone color. Please provide some product recommendations for me","VACOS"
"I would want a my replacement to be a Camo print jacket. Since i never had a Camo print jacket me picking this out as a replacement works. Please provide some product recommendations for me","VACOS"
"I want to get a thin warm outdoor sports jacket, something you would find at Dicks sporting goods. A zip up. Please provide some product recommendations for me","VACOS"
"I would want a laptop that is fast and has a reputation of being stable and reliable. A fast start up time is also a must. Please provide some product recommendations for me","VACOS"
"I would want my next jacket to be hard wearing and would last for a very long time. I am very active so would like a coat that could be worn outside for an extended period of time while keeping me warm. Please provide some product recommendations for me","VACOS"
"I would buy an affordable warm jacket.I would buy a jacket that is on sale. Please provide some product recommendations for me","VACOS"
"I would buy a lightweight, medium sized laptop which is easy to carry and looks good.  I would like a silver or gold coloured laptop.  It should be easy and quick to start up and simple to use on a day to day basis. Please provide some product recommendations for me","VACOS"
"I would want to try and get a jacket that was almost identical to the one I lost. It would have to be of a similar material so that it would be roughly the same weight, not too heavy. It would have to have the same number of pockets as the one I lost, and possibly more especially on the inside. I would like it to be the same colour, blue but if not I would be happy to have another colour as long as it wasn't white, red or black. It would have to be of the same length as well. Please provide some product recommendations for me","VACOS"
"It would just need to be an average laptop capable of doing basic tasks, nothing fancy. Reason being that I have a very powerful desktop PC that I use for any demanding tasks. Please provide some product recommendations for me","VACOS"
"I want to find a jacket that is warm and light, maybe like a parka. I'd prefer it to have a hood, and a zip fastening - I don't really mind what colour it is but I'd prefer a bold colour like dark red or purple, not black or navy blue. Please provide some product recommendations for me","VACOS"
